epoch,train_loss,val_loss,best_val_loss,patience,lr,epoch_time_s,improved
99,1.162427,1.199576,1.199576,0,2.17e-04,4.2,1
100,1.160722,1.199422,1.199422,0,2.15e-04,4.2,1
101,1.156424,1.226028,1.199422,1,2.13e-04,4.2,0
102,1.166160,1.184277,1.184277,0,2.11e-04,4.2,1
103,1.151924,1.197528,1.184277,1,2.10e-04,4.3,0
104,1.145440,1.191518,1.184277,2,2.08e-04,4.2,0
105,1.139768,1.176344,1.176344,0,2.06e-04,4.2,1
106,1.138461,1.182793,1.176344,1,2.04e-04,4.2,0
107,1.131728,1.176543,1.176344,2,2.02e-04,4.2,0
108,1.136181,1.176345,1.176344,3,2.00e-04,4.2,0
109,1.130830,1.183891,1.176344,4,1.98e-04,4.2,0
110,1.131824,1.178071,1.176344,5,1.96e-04,4.2,0
111,1.131714,1.187559,1.176344,6,1.94e-04,4.2,0
112,1.131929,1.173252,1.173252,0,1.92e-04,4.2,1
113,1.125465,1.179148,1.173252,1,1.91e-04,4.2,0
114,1.130114,1.176056,1.173252,2,1.89e-04,4.2,0
115,1.124548,1.163482,1.163482,0,1.87e-04,4.2,1
116,1.121940,1.170871,1.163482,1,1.85e-04,4.2,0
117,1.121518,1.160381,1.160381,0,1.83e-04,4.2,1
118,1.118608,1.182992,1.160381,1,1.81e-04,4.2,0
119,1.128025,1.167330,1.160381,2,1.79e-04,4.2,0
120,1.118183,1.160791,1.160381,3,1.77e-04,4.2,0
121,1.115556,1.155207,1.155207,0,1.75e-04,4.2,1
122,1.110760,1.147708,1.147708,0,1.73e-04,4.3,1
123,1.106351,1.151949,1.147708,1,1.71e-04,4.2,0
124,1.104757,1.143744,1.143744,0,1.69e-04,4.2,1
125,1.103264,1.143026,1.143026,0,1.67e-04,4.2,1
126,1.100875,1.142669,1.142669,0,1.65e-04,4.2,1
127,1.099180,1.142150,1.142150,0,1.63e-04,4.2,1
128,1.100171,1.139471,1.139471,0,1.61e-04,4.2,1
129,1.098419,1.143880,1.139471,1,1.59e-04,4.3,0
130,1.097699,1.134958,1.134958,0,1.57e-04,4.2,1
131,1.093037,1.134083,1.134083,0,1.55e-04,4.2,1
132,1.092747,1.134539,1.134083,1,1.53e-04,4.2,0
133,1.090399,1.128568,1.128568,0,1.51e-04,4.2,1
134,1.091163,1.139058,1.128568,1,1.49e-04,4.2,0
135,1.093517,1.140528,1.128568,2,1.47e-04,4.2,0
136,1.099945,1.134856,1.128568,3,1.45e-04,4.2,0
137,1.093832,1.140745,1.128568,4,1.43e-04,4.2,0
138,1.095403,1.131638,1.128568,5,1.41e-04,4.2,0
139,1.090881,1.135539,1.128568,6,1.39e-04,4.2,0
