epoch,train_loss,val_loss,best_val_loss,patience,lr,epoch_time_s,improved
99,1.152291,1.202874,1.196096,5,1.98e-04,3.5,0
100,1.145868,1.190755,1.190755,0,1.96e-04,3.6,1
101,1.145265,1.193549,1.190755,1,1.95e-04,3.6,0
102,1.145776,1.185910,1.185910,0,1.93e-04,3.6,1
103,1.143027,1.183878,1.183878,0,1.91e-04,3.6,1
104,1.139251,1.182673,1.182673,0,1.89e-04,3.6,1
105,1.135104,1.183155,1.182673,1,1.87e-04,3.6,0
106,1.131971,1.178683,1.178683,0,1.85e-04,3.6,1
107,1.132894,1.181096,1.178683,1,1.84e-04,3.5,0
108,1.132238,1.178306,1.178306,0,1.82e-04,3.6,1
109,1.135290,1.185966,1.178306,1,1.80e-04,3.6,0
110,1.135226,1.185433,1.178306,2,1.78e-04,3.6,0
111,1.134626,1.184627,1.178306,3,1.76e-04,3.6,0
112,1.131963,1.180767,1.178306,4,1.74e-04,3.6,0
113,1.131770,1.182419,1.178306,5,1.73e-04,3.6,0
114,1.131551,1.173258,1.173258,0,1.71e-04,3.6,1
115,1.127859,1.170687,1.170687,0,1.69e-04,3.6,1
116,1.127258,1.168385,1.168385,0,1.67e-04,3.6,1
117,1.124422,1.171671,1.168385,1,1.65e-04,3.6,0
118,1.121577,1.169797,1.168385,2,1.63e-04,3.6,0
119,1.119284,1.170409,1.168385,3,1.61e-04,3.6,0
120,1.116412,1.175740,1.168385,4,1.59e-04,3.6,0
121,1.116964,1.164060,1.164060,0,1.58e-04,3.6,1
122,1.113379,1.167596,1.164060,1,1.56e-04,3.6,0
123,1.110879,1.161361,1.161361,0,1.54e-04,3.6,1
124,1.110646,1.168356,1.161361,1,1.52e-04,3.6,0
125,1.109644,1.160806,1.160806,0,1.50e-04,3.6,1
126,1.107887,1.162039,1.160806,1,1.48e-04,3.6,0
127,1.107416,1.156520,1.156520,0,1.46e-04,3.6,1
128,1.104463,1.154336,1.154336,0,1.44e-04,3.6,1
129,1.104583,1.155391,1.154336,1,1.42e-04,3.6,0
130,1.103310,1.149712,1.149712,0,1.41e-04,3.6,1
131,1.103981,1.157005,1.149712,1,1.39e-04,3.6,0
132,1.102184,1.151576,1.149712,2,1.37e-04,3.5,0
133,1.101159,1.157546,1.149712,3,1.35e-04,3.6,0
134,1.099432,1.147215,1.147215,0,1.33e-04,3.6,1
135,1.095949,1.147240,1.147215,1,1.31e-04,3.6,0
136,1.092581,1.144287,1.144287,0,1.29e-04,3.6,1
137,1.092190,1.144775,1.144287,1,1.27e-04,3.5,0
138,1.091281,1.142796,1.142796,0,1.26e-04,3.6,1
139,1.093687,1.145132,1.142796,1,1.24e-04,3.6,0
140,1.094602,1.145230,1.142796,2,1.22e-04,3.6,0
141,1.094899,1.143141,1.142796,3,1.20e-04,3.6,0
142,1.093210,1.142661,1.142661,0,1.18e-04,3.6,1
143,1.090773,1.143297,1.142661,1,1.16e-04,3.6,0
144,1.088125,1.142226,1.142226,0,1.15e-04,3.6,1
145,1.088215,1.143279,1.142226,1,1.13e-04,3.6,0
146,1.086982,1.139400,1.139400,0,1.11e-04,3.6,1
147,1.085573,1.140330,1.139400,1,1.09e-04,3.5,0
148,1.086637,1.137378,1.137378,0,1.07e-04,3.6,1
149,1.084683,1.135197,1.135197,0,1.05e-04,3.6,1
150,1.082592,1.135708,1.135197,1,1.04e-04,3.6,0
151,1.081937,1.132045,1.132045,0,1.02e-04,3.6,1
152,1.082081,1.132889,1.132045,1,1.00e-04,3.6,0
153,1.080531,1.130897,1.130897,0,9.83e-05,3.6,1
154,1.079521,1.130461,1.130461,0,9.65e-05,3.6,1
155,1.079080,1.129879,1.129879,0,9.48e-05,3.6,1
156,1.076273,1.127851,1.127851,0,9.30e-05,3.6,1
157,1.075058,1.126177,1.126177,0,9.13e-05,3.6,1
158,1.073278,1.125402,1.125402,0,8.96e-05,3.6,1
159,1.073288,1.125206,1.125206,0,8.78e-05,3.6,1
160,1.075396,1.124599,1.124599,0,8.61e-05,3.6,1
161,1.074485,1.126873,1.124599,1,8.44e-05,3.6,0
162,1.076135,1.127823,1.124599,2,8.27e-05,3.6,0
163,1.075255,1.124675,1.124599,3,8.11e-05,3.6,0
164,1.074561,1.121510,1.121510,0,7.94e-05,3.6,1
165,1.070127,1.119601,1.119601,0,7.77e-05,3.6,1
166,1.070501,1.119719,1.119601,1,7.61e-05,3.6,0
167,1.069330,1.118337,1.118337,0,7.45e-05,3.6,1
168,1.068836,1.117588,1.117588,0,7.28e-05,3.6,1
169,1.066522,1.115996,1.115996,0,7.12e-05,3.6,1
170,1.068207,1.116831,1.115996,1,6.96e-05,3.6,0
171,1.066485,1.116058,1.115996,2,6.80e-05,3.6,0
172,1.066147,1.116705,1.115996,3,6.65e-05,3.6,0
173,1.066250,1.116190,1.115996,4,6.49e-05,3.6,0
174,1.065397,1.115969,1.115969,0,6.34e-05,3.6,1
175,1.065962,1.117666,1.115969,1,6.18e-05,3.6,0
176,1.066776,1.114819,1.114819,0,6.03e-05,3.6,1
177,1.065802,1.114361,1.114361,0,5.88e-05,3.6,1
178,1.065100,1.112830,1.112830,0,5.73e-05,3.6,1
179,1.063899,1.111843,1.111843,0,5.58e-05,3.6,1
180,1.062759,1.110763,1.110763,0,5.44e-05,3.6,1
181,1.061931,1.110310,1.110310,0,5.29e-05,3.6,1
182,1.060030,1.109438,1.109438,0,5.15e-05,3.6,1
183,1.060816,1.108798,1.108798,0,5.01e-05,3.6,1
184,1.059385,1.109036,1.108798,1,4.87e-05,3.6,0
185,1.059595,1.107191,1.107191,0,4.73e-05,3.6,1
186,1.059499,1.107762,1.107191,1,4.60e-05,3.6,0
187,1.059117,1.106298,1.106298,0,4.46e-05,3.6,1
188,1.058458,1.105980,1.105980,0,4.33e-05,3.6,1
189,1.057855,1.105503,1.105503,0,4.20e-05,3.5,1
190,1.057394,1.105103,1.105103,0,4.07e-05,3.6,1
191,1.057384,1.104894,1.104894,0,3.94e-05,3.6,1
192,1.057921,1.104427,1.104427,0,3.81e-05,3.6,1
193,1.057267,1.103684,1.103684,0,3.69e-05,3.6,1
194,1.058379,1.103571,1.103571,0,3.56e-05,3.6,1
195,1.055892,1.102859,1.102859,0,3.44e-05,3.6,1
196,1.055192,1.102441,1.102441,0,3.32e-05,3.5,1
197,1.055402,1.102350,1.102350,0,3.21e-05,3.6,1
198,1.055570,1.101965,1.101965,0,3.09e-05,3.6,1
199,1.054566,1.101736,1.101736,0,2.98e-05,3.6,1
200,1.054722,1.101316,1.101316,0,2.86e-05,3.6,1
201,1.054906,1.101121,1.101121,0,2.75e-05,3.6,1
202,1.054784,1.100943,1.100943,0,2.65e-05,3.5,1
203,1.056640,1.100540,1.100540,0,2.54e-05,3.6,1
204,1.054153,1.100134,1.100134,0,2.44e-05,3.6,1
205,1.054832,1.099960,1.099960,0,2.34e-05,3.6,1
206,1.054192,1.099579,1.099579,0,2.24e-05,3.6,1
207,1.053826,1.099247,1.099247,0,2.14e-05,3.6,1
208,1.053115,1.099188,1.099188,0,2.04e-05,3.6,1
209,1.053212,1.098951,1.098951,0,1.95e-05,3.7,1
210,1.053673,1.098603,1.098603,0,1.86e-05,3.6,1
211,1.054316,1.098388,1.098388,0,1.77e-05,3.6,1
212,1.052159,1.098132,1.098132,0,1.68e-05,3.6,1
213,1.052296,1.097975,1.097975,0,1.59e-05,3.6,1
214,1.051852,1.097936,1.097936,0,1.51e-05,3.6,1
215,1.052932,1.097645,1.097645,0,1.43e-05,3.6,1
216,1.051319,1.097577,1.097577,0,1.35e-05,3.6,1
217,1.051256,1.097542,1.097542,0,1.27e-05,3.6,1
218,1.052935,1.097569,1.097542,1,1.20e-05,3.6,0
219,1.051314,1.097192,1.097192,0,1.12e-05,3.6,1
