epoch,train_loss,val_loss,best_val_loss,patience,lr,epoch_time_s,improved
99,0.865519,0.865432,0.864254,4,8.92e-05,0.6,0
100,0.865062,0.865218,0.864254,5,8.61e-05,0.6,0
101,0.864148,0.864391,0.864254,6,8.31e-05,0.6,0
102,0.863403,0.864126,0.864126,0,8.01e-05,0.6,1
103,0.864150,0.864073,0.864073,0,7.71e-05,0.6,1
104,0.864051,0.863747,0.863747,0,7.41e-05,0.6,1
105,0.864062,0.864092,0.863747,1,7.12e-05,0.6,0
106,0.863787,0.863377,0.863377,0,6.84e-05,0.6,1
107,0.863581,0.863289,0.863289,0,6.55e-05,0.6,1
108,0.864105,0.863492,0.863289,1,6.27e-05,0.6,0
109,0.862634,0.863316,0.863289,2,6.00e-05,0.6,0
110,0.863371,0.863220,0.863220,0,5.73e-05,0.6,1
111,0.862425,0.863617,0.863220,1,5.47e-05,0.7,0
112,0.862954,0.863320,0.863220,2,5.21e-05,0.6,0
113,0.862477,0.863425,0.863220,3,4.95e-05,0.6,0
114,0.862295,0.864050,0.863220,4,4.70e-05,0.6,0
115,0.863016,0.863303,0.863220,5,4.46e-05,0.6,0
116,0.863798,0.864719,0.863220,6,4.22e-05,0.6,0
117,0.863331,0.863706,0.863220,7,3.99e-05,0.6,0
118,0.862007,0.863042,0.863042,0,3.76e-05,0.6,1
119,0.863230,0.862992,0.862992,0,3.54e-05,0.6,1
120,0.862355,0.862740,0.862740,0,3.32e-05,0.6,1
121,0.861907,0.862440,0.862440,0,3.11e-05,0.6,1
122,0.862061,0.862928,0.862440,1,2.91e-05,0.6,0
123,0.862441,0.862711,0.862440,2,2.71e-05,0.6,0
124,0.861777,0.863134,0.862440,3,2.52e-05,0.6,0
125,0.861733,0.863597,0.862440,4,2.34e-05,0.6,0
126,0.862589,0.863319,0.862440,5,2.16e-05,0.6,0
127,0.860511,0.863210,0.862440,6,1.98e-05,0.7,0
128,0.861452,0.863249,0.862440,7,1.82e-05,0.6,0
129,0.861376,0.862917,0.862440,8,1.66e-05,0.6,0
130,0.861434,0.862785,0.862440,9,1.51e-05,0.6,0
131,0.862391,0.863015,0.862440,10,1.36e-05,0.6,0
132,0.861457,0.863044,0.862440,11,1.23e-05,0.6,0
133,0.861570,0.862700,0.862440,12,1.10e-05,0.6,0
134,0.861796,0.862838,0.862440,13,9.72e-06,0.6,0
135,0.861106,0.863044,0.862440,14,8.55e-06,0.7,0
136,0.860423,0.862929,0.862440,15,7.46e-06,0.6,0
137,0.860910,0.862997,0.862440,16,6.44e-06,0.6,0
138,0.861211,0.862863,0.862440,17,5.49e-06,0.6,0
139,0.861131,0.862719,0.862440,18,4.62e-06,0.6,0
140,0.861339,0.862695,0.862440,19,3.82e-06,0.6,0
141,0.861450,0.862721,0.862440,20,3.10e-06,0.6,0
142,0.861627,0.862743,0.862440,21,2.45e-06,0.6,0
143,0.862114,0.862685,0.862440,22,1.88e-06,0.6,0
144,0.861242,0.862676,0.862440,23,1.38e-06,0.6,0
145,0.860707,0.862693,0.862440,24,9.58e-07,0.6,0
146,0.860268,0.862706,0.862440,25,6.14e-07,0.6,0
